text,sentence_index,n_gram_id,tag
טהור מטפח ולמעלה טמא:,15,856,-1
כסף משנה אחד,16,881,-1
מטמא באהל מה שאין,3,195,-1
לצירוף יד ואפשר דמשמע,10,378,-1
צירף ידו ואפשר,13,669,-1
"מינים (דף מ""ג) ואיתיה בת''כ:",7,298,-1
ובמשא ובאהל טומאת שבעה וטומאת מגע ואהל,0,47,-1
ואין צורך לצירוף יד,10,376,-1
"מינים (דף מ""ג) ואיתיה",7,291,-1
עולם וזה הפך ממ''ש בשמו בסמוך לחד,13,802,-1
"ונזיר (דף נ""ו ע""ב)",1,77,-1
אלמא לאו בר קבולי טומאה,20,1282,-1
כמותו משום דמשמע שם דרבינא סבר,19,1112,-1
אחד הבא כלו לאהל המת או הבא,6,278,-1
עכו''ם אינם מטמאין: וכן העכו''ם אינו נעשה,19,1192,-1
ואין צורך לצירוף יד ואפשר דמשמע לרבינו,10,496,-1
מטפח ולמטה טהור כנוגע בקרקע,13,728,-1
משנה טומאת אהל אינה בשאר טומאות,2,167,-1
אא''כ צירף ידו או אפשר,10,430,-1
צירף ידו או אפשר,10,390,-1
לאהל המת או הבא מקצתו וכו',6,275,-1
לצירוף יד ואפשר דמשמע לרבינו דלישנא,10,459,-1
"קי""ד ע""ב) אמרי' דא''ל",19,1028,-1
העכו''ם אינו נעשה טמא מת,19,1103,-1
טהור כנוגע בקרקע עולם וזה הפך ממ''ש,13,799,-1
הבא כלו לאהל המת או הבא,6,273,-1
"כ''ג ונזיר (דף נ""ו",1,76,-1
בהמה מבואר בריש פרק ח' דאהלות,21,1374,-1
טהור כנוגע בקרקע,13,657,-1
כלו לאהל המת או הבא מקצתו,6,274,-1
בשמו בסמוך לחד לישנא אצל צירף,13,772,-1
יהיב טעמא למה אם נגע טמא וצ''ע,10,521,-1
אחד הבא כלו,6,248,-1
קברי עכו''ם אינם מטמאין: וכן,19,1098,-1
בפרק הבא על יבמתו (דף,17,931,-1
שהוא מטמא באהל מה שאין כולם,3,215,-1
ובמשא ובאהל טומאת,0,5,-1
למה הצריך שיצרף ידו שמלשון המשנה משמע,10,486,-1
בת''כ: נגע במשקוף וכו',7,295,-1
חמור מכולם המת שהוא מטמא,3,202,-1
רבה לאליהו לאו,19,983,-1
"פ''ק דכלים (מ""ד) חמור מכולם המת",3,209,-1
ונראה מדברי רבינו שם דטעמא משום דכשטומאה,12,636,-1
נגע במשקוף וכו',7,288,-1
שם לרשב''י ואע''ג דרבנן פליגי עליה,19,1105,-1
דוקא ואינו טמא אא''כ צירף,10,427,-1
צירף ידו ואפשר שכאן,13,706,-1
"ע""ב) אמרי' דא''ל",19,980,-1
טומאת שבעה וטומאת מגע ואהל מפורשים בתורה,0,49,-1
שם במשנה וכר' יהושע ונראה,12,581,-1
ודין בהמה מבואר בריש,21,1356,-1
"תינוקת (דף ס""ט) ושנינו בפ''ב",1,103,-1
ובפרק לא יחפור,20,1208,-1
כ') אמרינן דעכו''ם שישב בחלון ממעט בחלון,20,1334,-1
קאי בבית הקברות,19,990,-1
אצל צירף ידו ואפשר שכאן חזר בו,13,810,-1
מטמא במגע ובמשא ובאהל טומאת,0,26,-1
דאהלות דאפי' עצם כשעורה מטמא במשא:,1,127,-1
הבא על יבמתו,17,917,-1
מפני שנותנת טעם למה מטפח,15,860,-1
שישב בחלון ממעט בחלון,20,1247,-1
"כוותיה ועוד דבס''פ המקבל (דף קי""ד ע""ב)",19,1164,-1
כוותיה ועוד דבס''פ המקבל (דף,19,1071,-1
לאליהו לאו כהן,19,984,-1
טמא ואין צורך לצירוף יד,10,416,-1
מטפח ולמעלה משום דדרך הטומאה לצאת: כתב,13,823,-1
כסף משנה טומאת אהל אינה בשאר טומאות,2,171,-1
שכתב רבינו וכאילו יהיב,10,398,-1
בשאר טומאות אלא,2,150,-1
הבא כלו לאהל המת או,6,266,-1
המת מטמא במגע ובמשא ובאהל טומאת שבעה,0,44,-1
שבעה וטומאת מגע ואהל,0,20,-1
דנגיעה היינו צירף,10,352,-1
באסקופה מטפח ולמעלה טמא כנוגע בכותל מכותלי,12,653,-1
בחלון אלמא לאו בר,20,1250,-1
מטמא באסקופה מטפח ולמעלה משום,13,752,-1
דבס''פ המקבל (דף,19,976,-1
משנה טומאת אהל,2,146,-1
"הבא על יבמתו (דף ס""א) מסקנא דרבינא",17,943,-1
דוקא ואינו טמא אא''כ צירף ידו או,10,506,-1
משנה אחד המת מישראל או,16,899,-1
"(דף נ""ו ע""ב)",1,57,-1
למה מטפח ולמטה טהור מטפח ולמעלה טמא:,15,880,-1
וכן העכו''ם אינו נעשה,19,1054,-1
טומאה ובפרק לא,20,1207,-1
המת מישראל או,16,884,-1
יצא העכו''ם שאין לו,20,1235,-1
"מ""ג) ואיתיה בת''כ: נגע במשקוף",7,300,-1
הטומאה לצאת: כתב,13,685,-1
מפני שנותנת טעם,15,839,-1
לישנא אצל צירף ידו ואפשר,13,740,-1
לצאת: כתב הראב''ד,13,686,-1
טומאת אהל אינה בשאר טומאות אלא במת,2,173,-1
דוקא ואינו טמא אא''כ,10,386,-1
לו טומאה ובפרק,20,1206,-1
טומאה ובפרק לא יחפור (דף,20,1270,-1
סביביו הילכך הנוגע באסקופה מטפח ולמעלה,12,625,-1
או הכלי וכו',4,229,-1
דלישנא דנגיעה לאו,10,341,-1
אחד המת מישראל או,16,892,-1
ולמעלה משום דדרך הטומאה,13,719,-1
באהל מה שאין כולם מטמאין,3,207,-1
מר טהרות דתניא רשב''י אומר,19,1093,-1
לו טומאה ובפרק לא יחפור,20,1269,-1
סביביו הילכך הנוגע באסקופה מטפח,12,599,-1
"(דף קי""ד ע""ב) אמרי' דא''ל רבה לאליהו",19,1168,-1
"בפרק כ''ג ונזיר (דף נ""ו ע""ב)",1,114,-1
משנה ומ''ש ואין,18,947,-1
שמלשון המשנה משמע דבנגיעה בעלמא טמא ואין,10,490,-1
ולמעלה משום דדרך הטומאה לצאת: כתב הראב''ד,13,824,-1
טמא אא''כ צירף,10,346,-1
וטומאת משא בפרק כ''ג ונזיר (דף,1,112,-1
משום דמשמע שם דרבינא סבר כוותיה,19,1113,-1
לא מתני מר,19,994,-1
דאפי' עצם כשעורה מטמא,1,89,-1
רבינו וטומאת משא בפרק,1,72,-1
כסף משנה ומ''ש ואין העכו''ם מטמא באהל,18,960,-1
צירף ידו או,10,348,-1
וחיה חוצצין מפני,21,1354,-1
"ע""ב) במשנה ובפרק תינוקת (דף",1,100,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם כשעורה",1,142,-1
כתב הראב''ד נגע באסקופה,13,724,-1
הבא כלו לאהל המת או הבא מקצתו,6,279,-1
ח' דאהלות שבהמה,21,1351,-1
המשנה משמע דבנגיעה בעלמא,10,371,-1
הפך ממ''ש בשמו בסמוך לחד,13,735,-1
משום דכשטומאה בבית,12,535,-1
אמרינן יצא העכו''ם שאין לו,20,1265,-1
שאין לו טומאה ובפרק,20,1237,-1
ואע''ג דרבנן פליגי,19,963,-1
משום דמשמע שם דרבינא,19,1018,-1
"פ''ק דכלים (מ""ד)",3,176,-1
ידו ואפשר שכאן חזר בו,13,743,-1
"(דף נ""ו ע""ב) במשנה ובפרק",1,98,-1
פסק כמותו משום דמשמע שם,19,1064,-1
דעכו''ם שישב בחלון ממעט בחלון אלמא לאו,20,1336,-1
ומ''ש ובין שהאהיל האדם או הכלי וכו',4,239,-1
כסף משנה טומאת אהל,2,153,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה לאו דוקא,10,500,-1
רבי יהושע מטמא באסקופה מטפח ולמעלה,13,785,-1
בסמוך לחד לישנא אצל צירף ידו ואפשר,13,807,-1
בפרק הבא על,17,916,-1
ממעט בחלון אלמא לאו,20,1249,-1
ושנינו בפ''ב דאהלות דאפי',1,86,-1
שבהמה וחיה חוצצין מפני הטומאה:,21,1372,-1
אלמא לאו בר,20,1219,-1
מפני שנותנת טעם למה מטפח ולמטה טהור,15,877,-1
דאהלות שבהמה וחיה חוצצין,21,1362,-1
"נ""ו ע""ב) במשנה",1,58,-1
ואין העכו''ם מטמא,18,949,-1
כסף משנה אחד,6,246,-1
טומאת אהל אינה,2,147,-1
פרק ח' דאהלות,21,1350,-1
ובאהל טומאת שבעה וטומאת מגע ואהל,0,39,-1
משנה המת מטמא במגע ובמשא,0,24,-1
איני יודע למה הצריך שיצרף ידו שמלשון,10,484,-1
"ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",1,121,-1
משנה אחד הבא,6,247,-1
"יבמתו (דף ס""א) מסקנא דרבינא אפילו לרשב''י:",17,945,-1
דבנגיעה בעלמא טמא ואין צורך לצירוף יד,10,493,-1
דמשמע שם דרבינא סבר כוותיה,19,1067,-1
כנוגע בקרקע עולם וזה הפך ממ''ש,13,766,-1
הוא וכן מפורש בתוספתא ריש,20,1287,-1
ומטמא כל סביביו הילכך הנוגע באסקופה,12,623,-1
"ועוד דבס''פ המקבל (דף קי""ד ע""ב) אמרי'",19,1165,-1
ואין העכו''ם מטמא באהל,18,954,-1
באסקופה מטפח ולמעלה טמא כנוגע,12,602,-1
מטמא במגע ובמשא,16,889,-1
כ''ג ונזיר (דף,1,55,-1
דבנגיעה בעלמא טמא,10,331,-1
וטומאת משא בפרק כ''ג,1,73,-1
משנה אחד הבא כלו,6,256,-1
מטפח ולמטה טהור מטפח,15,854,-1
העכו''ם אינו נעשה טמא,19,1055,-1
שכתב רבינו וכאילו יהיב טעמא למה,10,479,-1
"דכלים (מ""ד) חמור מכולם",3,189,-1
"על יבמתו (דף ס""א)",17,926,-1
דמשמע לרבינו דלישנא דנגיעה לאו דוקא,10,462,-1
"מינים (דף מ""ג) ואיתיה בת''כ: נגע במשקוף",7,309,-1
מה שאין כולם,3,185,-1
מטמא במגע ובמשא ובאהל,0,15,-1
סתום ומטמא כל סביביו הילכך הנוגע,12,622,-1
שהוא מטמא באהל,3,182,-1
טעמא למה אם נגע טמא וצ''ע,10,483,-1
"דכלים (מ""ד) חמור",3,177,-1
משום דכשטומאה בבית הוי הבית כקבר,12,616,-1
וכר' יהושע ונראה מדברי רבינו שם דטעמא,12,634,-1
ועוד דבס''פ המקבל,19,975,-1
שכתב רבינו וכאילו יהיב טעמא,10,439,-1
"בתרא דנזיר (דף ס""א ע""ב)",20,1260,-1
שם דרבינא סבר,19,971,-1
"ונזיר (דף נ""ו ע""ב) במשנה ובפרק",1,116,-1
יודע למה הצריך שיצרף ידו שמלשון המשנה,10,485,-1
משנה ומ''ש ואין העכו''ם,18,952,-1
ובפרק לא יחפור (דף,20,1240,-1
דאהלות דאפי' עצם,1,67,-1
בריש פרק ח' דאהלות שבהמה,21,1368,-1
הקברות א''ל לא,19,992,-1
דבנגיעה בעלמא טמא ואין צורך לצירוף,10,454,-1
בחלון ממעט בחלון אלמא,20,1248,-1
כנוגע בכותל מכותלי,12,551,-1
"משא בפרק כ''ג ונזיר (דף נ""ו",1,113,-1
ואפשר שכאן חזר בו,13,708,-1
ידו שמלשון המשנה,10,327,-1
הראב''ד נגע באסקופה מטפח ולמטה וכו',13,796,-1
מטפח ולמטה טהור כנוגע,13,692,-1
המת מטמא במגע ובמשא ובאהל,0,25,-1
רבינו שם דטעמא משום דכשטומאה בבית הוי,12,638,-1
טומאה הוא וכן,20,1223,-1
טעם למה מטפח ולמטה,15,852,-1
אינם מטמאין: וכן,19,1003,-1
לחד לישנא אצל,13,666,-1
דרבינא סבר כוותיה ועוד,19,1021,-1
כמותו משום דמשמע שם,19,1017,-1
לאהל המת או הבא,6,260,-1
ומטמא כל סביביו הילכך הנוגע באסקופה מטפח,12,648,-1
יחפור (דף כ') אמרינן דעכו''ם שישב,20,1303,-1
דאהלות שבהמה וחיה חוצצין מפני,21,1371,-1
לאו כהן הוא מר מ''ט,19,1082,-1
הנוגע באסקופה מטפח ולמעלה טמא כנוגע בכותל,12,652,-1
העכו''ם מטמא במגע ובמשא,16,897,-1
איני יודע למה הצריך שיצרף,10,405,-1
יצא העכו''ם שאין לו טומאה ובפרק לא,20,1325,-1
(דף כ') אמרינן,20,1211,-1
ממ''ש בשמו בסמוך,13,663,-1
שבעה וטומאת מגע ואהל מפורשים,0,31,-1
שכאן חזר בו ור''ש כתב רבי יהושע,13,814,-1
מטפח ולמעלה טמא כנוגע בכותל,12,603,-1
"ס""א ע""ב) אמרינן יצא העכו''ם שאין לו",20,1322,-1
"(דף מ""ג) ואיתיה בת''כ:",7,292,-1
אינו נעשה טמא מת,19,1056,-1
הצריך שיצרף ידו שמלשון,10,367,-1
טומאה הוא וכן מפורש,20,1255,-1
"(דף ס""א ע""ב) אמרינן יצא העכו''ם שאין",20,1321,-1
מצאתי בתוספתא דאהלות וכו',14,834,-1
מכולם המת שהוא,3,180,-1
ידו ואפשר שכאן חזר בו ור''ש כתב,13,812,-1
אא''כ צירף ידו או אפשר דנגיעה,10,470,-1
מכולם המת שהוא מטמא באהל מה שאין,3,222,-1
איני יודע למה הצריך,10,364,-1
רבינו וכאילו יהיב טעמא למה אם,10,480,-1
"נ""ו ע""ב) במשנה ובפרק תינוקת (דף ס""ט)",1,136,-1
שמלשון המשנה משמע דבנגיעה בעלמא טמא,10,451,-1
"(מ""ד) חמור מכולם המת שהוא מטמא באהל",3,220,-1
היינו צירף ידו שכתב רבינו,10,436,-1
שמלשון המשנה משמע דבנגיעה בעלמא,10,411,-1
לצאת: כתב הראב''ד נגע באסקופה,13,759,-1
טמא מת וכו',19,1009,-1
דטעמא משום דכשטומאה,12,534,-1
היינו צירף ידו שכתב רבינו וכאילו,10,476,-1
"ס""א ע""ב) אמרינן יצא העכו''ם שאין",20,1293,-1
כתב רבי יהושע מטמא באסקופה,13,749,-1
בפ' ג' מינים,7,281,-1
לאו דוקא ואינו,10,343,-1
רבינו וטומאת משא,1,51,-1
מצאתי בתוספתא דאהלות,14,831,-1
"קי""ד ע""ב) אמרי' דא''ל רבה לאליהו",19,1123,-1
דרבינא סבר כוותיה,19,972,-1
המת או הבא מקצתו וכו',6,269,-1
ובין שהאהיל האדם או הכלי וכו',4,238,-1
או הבא מקצתו וכו',6,262,-1
"ע""ב) במשנה ובפרק",1,59,-1
חמור מכולם המת,3,179,-1
לאו דוקא ואינו טמא אא''כ צירף ידו,10,505,-1
כמ''ש רבינו וטומאת משא בפרק כ''ג,1,110,-1
עולם וזה הפך ממ''ש בשמו,13,733,-1
שנותנת טעם למה,15,840,-1
פרק ח' דאהלות שבהמה וחיה חוצצין,21,1377,-1
אינו נעשה טמא מת וכו',19,1104,-1
לצאת: כתב הראב''ד נגע באסקופה מטפח ולמטה,13,828,-1
הוא מר מ''ט קאי בבית,19,1084,-1
דנגיעה היינו צירף ידו,10,394,-1
בשמו בסמוך לחד לישנא אצל,13,737,-1
דאהלות (משנה א'):,5,242,-1
משנה אחד המת,16,882,-1
"המקבל (דף קי""ד ע""ב) אמרי' דא''ל",19,1121,-1
שנותנת טעם למה מטפח ולמטה טהור מטפח,15,878,-1
יהיב טעמא למה אם נגע טמא,10,482,-1
דרבינא סבר כוותיה ועוד דבס''פ,19,1069,-1
אלא במת בלבד,2,152,-1
"(מ""ד) חמור מכולם",3,178,-1
בריש פרק ח' דאהלות,21,1359,-1
מר מ''ט קאי,19,988,-1
ומ''ש ואין העכו''ם מטמא,18,953,-1
ואינו טמא אא''כ צירף ידו,10,428,-1
הקברות א''ל לא מתני מר טהרות,19,1136,-1
דא''ל רבה לאליהו לאו,19,1031,-1
בחלון אלמא לאו,20,1218,-1
בחלון ממעט בחלון אלמא לאו בר קבולי,20,1338,-1
"ובפרק תינוקת (דף ס""ט) ושנינו",1,102,-1
"(דף ס""א ע""ב) אמרינן יצא",20,1262,-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו",1,120,-1
"דבס''פ המקבל (דף קי""ד ע""ב)",19,1073,-1
הנוגע באסקופה מטפח,12,546,-1
"בתרא דנזיר (דף ס""א",20,1229,-1
באסקופה מטפח ולמעלה משום דדרך,13,753,-1
לאו כהן הוא מר מ''ט קאי,19,1129,-1
שם דרבינא סבר כוותיה,19,1020,-1
ובמשא ובאהל טומאת שבעה,0,17,-1
כתב תוספתא זו מפני שנותנת,15,857,-1
דטעמא משום דכשטומאה בבית הוי הבית כקבר,12,640,-1
אא''כ צירף ידו או,10,389,-1
לאו דוקא ואינו טמא אא''כ,10,426,-1
כקבר סתום ומטמא כל סביביו הילכך הנוגע,12,646,-1
ולמעלה משום דדרך הטומאה לצאת: כתב,13,790,-1
דמשמע לרבינו דלישנא דנגיעה לאו דוקא ואינו,10,501,-1
"(דף קי""ד ע""ב) אמרי' דא''ל",19,1075,-1
הנוגע באסקופה מטפח ולמעלה טמא,12,601,-1
בפרק הבא על יבמתו,17,924,-1
אמרינן יצא העכו''ם שאין לו טומאה ובפרק,20,1324,-1
"נ""ו ע""ב) במשנה ובפרק תינוקת",1,99,-1
וכר' יהושע ונראה מדברי,12,556,-1
טעם למה מטפח,15,841,-1
ממ''ש בשמו בסמוך לחד לישנא אצל,13,771,-1
פרק ח' דאהלות שבהמה וחיה חוצצין מפני,21,1384,-1
צורך לצירוף יד ואפשר דמשמע לרבינו דלישנא,10,497,-1
פרק ח' דאהלות שבהמה,21,1360,-1
"ס""א ע""ב) אמרינן",20,1200,-1
שמלשון המשנה משמע דבנגיעה,10,370,-1
שאין לו טומאה ובפרק לא,20,1268,-1
שבהמה וחיה חוצצין מפני,21,1363,-1
כהן הוא מר מ''ט קאי בבית,19,1130,-1
משום דכשטומאה בבית הוי הבית,12,590,-1
בעלמא טמא ואין צורך לצירוף,10,415,-1
בעלמא טמא ואין צורך,10,374,-1
אינם מטמאין: וכן העכו''ם אינו נעשה טמא,19,1193,-1
יחפור (דף כ') אמרינן,20,1242,-1
הוא וכן מפורש בתוספתא,20,1256,-1
לא מתני מר טהרות דתניא רשב''י אומר,19,1184,-1
חזר בו ור''ש,13,673,-1
שהוא מטמא באהל מה שאין כולם מטמאין,3,224,-1
דנגיעה לאו דוקא ואינו טמא אא''כ צירף,10,504,-1
מ''ט קאי בבית הקברות א''ל לא מתני,19,1179,-1
יהיב טעמא למה,10,359,-1
היינו צירף ידו,10,353,-1
אלמא לאו בר קבולי טומאה הוא וכן,20,1341,-1
מטפח ולמטה טהור,15,843,-1
הטומאה לצאת: כתב הראב''ד,13,722,-1
משנה ומ''ש ואין העכו''ם מטמא באהל,18,959,-1
מטמאין: וכן העכו''ם אינו נעשה טמא מת,19,1194,-1
משנה המת מטמא במגע ובמשא ובאהל,0,34,-1
או מן העכו''ם מטמא במגע ובמשא,16,910,-1
כוותיה ועוד דבס''פ,19,974,-1
וכר' יהושע ונראה מדברי רבינו שם,12,609,-1
יהושע ונראה מדברי רבינו שם,12,584,-1
חמור מכולם המת שהוא מטמא באהל,3,212,-1
"בפרק הבא על יבמתו (דף ס""א)",17,937,-1
משנה המת מטמא,0,1,-1
רבי יהושע מטמא באסקופה מטפח ולמעלה משום,13,819,-1
ודין בהמה מבואר,21,1346,-1
"ע""ב) אמרי' דא''ל רבה לאליהו לאו כהן",19,1170,-1
לצירוף יד ואפשר דמשמע לרבינו דלישנא דנגיעה,10,498,-1
"על יבמתו (דף ס""א) מסקנא דרבינא",17,939,-1
ידו שכתב רבינו וכאילו יהיב,10,438,-1
ושנינו בפ''ב דאהלות דאפי' עצם כשעורה,1,125,-1
בר קבולי טומאה הוא וכן מפורש בתוספתא,20,1343,-1
רבינו וכאילו יהיב טעמא למה אם נגע,10,519,-1
צירף ידו ואפשר שכאן חזר,13,742,-1
העכו''ם אינו נעשה,19,1006,-1
המשנה משמע דבנגיעה בעלמא טמא,10,412,-1
מישראל או מן העכו''ם,16,894,-1
דטעמא משום דכשטומאה בבית,12,562,-1
המת שהוא מטמא באהל מה שאין כולם,3,223,-1
"(דף ס""א ע""ב)",20,1199,-1
מר מ''ט קאי בבית הקברות א''ל לא,19,1178,-1
ג' מינים (דף,7,282,-1
שם דטעמא משום דכשטומאה,12,561,-1
מדברי רבינו שם דטעמא,12,559,-1
דרבינא סבר כוותיה ועוד דבס''פ המקבל (דף,19,1162,-1
במגע ובמשא ובאהל טומאת,0,16,-1
זו מפני שנותנת טעם למה,15,859,-1
"הבא על יבמתו (דף ס""א) מסקנא",17,938,-1
"ע""ב) במשנה ובפרק תינוקת (דף ס""ט) ושנינו",1,137,-1
לא יחפור (דף כ'),20,1241,-1
מטמא במגע ובמשא,0,3,-1
בשמו בסמוך לחד,13,664,-1
באסקופה מטפח ולמעלה משום דדרך הטומאה,13,788,-1
הבא כלו לאהל,6,249,-1
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה ובפרק",1,133,-1
העכו''ם שאין לו טומאה ובפרק לא יחפור,20,1326,-1
בפרק בתרא דנזיר,20,1196,-1
בו ור''ש כתב רבי,13,711,-1
"ג' מינים (דף מ""ג) ואיתיה בת''כ: נגע",7,308,-1
במגע ובמשא ובאהל טומאת שבעה וטומאת,0,37,-1
ממעט בחלון אלמא לאו בר קבולי טומאה,20,1339,-1
ידו או אפשר דנגיעה היינו,10,432,-1
אם נגע טמא וצ''ע,10,404,-1
"ג' מינים (דף מ""ג) ואיתיה",7,297,-1
דלישנא דנגיעה לאו דוקא,10,383,-1
משנה פי''ב דאהלות נגע במשקוף טמא,8,320,-1
לא מתני מר טהרות דתניא,19,1091,-1
ומטמא כל סביביו,12,542,-1
שישב בחלון ממעט בחלון אלמא לאו בר,20,1337,-1
מפורש בתוספתא ריש,20,1226,-1
לאו כהן הוא מר,19,1034,-1
משום דמשמע שם דרבינא סבר,19,1066,-1
יודע למה הצריך שיצרף,10,365,-1
ידו שמלשון המשנה משמע דבנגיעה,10,410,-1
וכאילו יהיב טעמא למה אם,10,441,-1
ונראה מדברי רבינו שם דטעמא,12,585,-1
איני יודע למה,10,322,-1
בת''כ: נגע במשקוף,7,287,-1
העכו''ם שאין לו טומאה ובפרק לא,20,1297,-1
כל סביביו הילכך הנוגע באסקופה מטפח,12,624,-1
"בפ' ג' מינים (דף מ""ג) ואיתיה בת''כ:",7,307,-1
כסף משנה ומ''ש,18,946,-1
דנגיעה היינו צירף ידו שכתב רבינו,10,475,-1
בר קבולי טומאה הוא וכן,20,1284,-1
כ') אמרינן דעכו''ם שישב בחלון ממעט,20,1305,-1
בחלון ממעט בחלון אלמא לאו,20,1279,-1
מפורש בתוספתא ריש אהלות,20,1258,-1
מטמא באהל מה שאין כולם,3,206,-1
משנה המת מטמא במגע,0,13,-1
במשנה וכר' יהושע ונראה מדברי,12,582,-1
כסף משנה אחד המת,16,890,-1
דנגיעה לאו דוקא ואינו טמא אא''כ,10,465,-1
אחד הבא כלו לאהל המת או,6,272,-1
א''ל לא מתני,19,993,-1
"דכלים (מ""ד) חמור מכולם המת שהוא",3,210,-1
יד ואפשר דמשמע לרבינו,10,379,-1
באסקופה מטפח ולמטה וכו',13,727,-1
נעשה טמא מת וכו',19,1057,-1
כסף משנה המת,0,0,-1
בבית הוי הבית כקבר סתום ומטמא כל,12,643,-1
ג''ז שם במשנה וכר' יהושע,12,580,-1
"קי""ד ע""ב) אמרי' דא''ל רבה",19,1076,-1
"(דף ס""ט) ושנינו",1,63,-1
בו ור''ש כתב רבי יהושע מטמא באסקופה,13,816,-1
"(דף קי""ד ע""ב) אמרי' דא''ל רבה",19,1122,-1
דכשטומאה בבית הוי הבית כקבר,12,591,-1
אפשר דנגיעה היינו צירף,10,393,-1
לו טומאה ובפרק לא,20,1238,-1
"(דף ס""ט) ושנינו בפ''ב",1,84,-1
לאליהו לאו כהן הוא,19,1033,-1
יחפור (דף כ') אמרינן דעכו''ם שישב בחלון,20,1332,-1
נגע באסקופה מטפח,13,689,-1
זו מפני שנותנת טעם למה מטפח ולמטה,15,876,-1
טומאה הוא וכן מפורש בתוספתא,20,1286,-1
וכאילו יהיב טעמא למה אם נגע טמא,10,520,-1
דאהלות נגע במשקוף,8,313,-1
"דנזיר (דף ס""א ע""ב) אמרינן",20,1261,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם",1,124,-1
שאין לו טומאה,20,1205,-1
ואפשר דמשמע לרבינו דלישנא,10,380,-1
זו מפני שנותנת טעם למה מטפח,15,868,-1
ולמטה טהור מטפח,15,844,-1
ולמעלה טמא כנוגע בכותל מכותלי,12,604,-1
לרבינו דלישנא דנגיעה לאו דוקא,10,423,-1
שאין כולם מטמאין,3,186,-1
לצירוף יד ואפשר דמשמע לרבינו,10,419,-1
בר קבולי טומאה הוא וכן מפורש,20,1314,-1
"נ""ו ע""ב) במשנה ובפרק",1,79,-1
לרבינו דלישנא דנגיעה,10,340,-1
המת שהוא מטמא באהל מה,3,204,-1
מטמא באסקופה מטפח ולמעלה משום דדרך הטומאה,13,821,-1
"דנזיר (דף ס""א ע""ב)",20,1230,-1
