text,tag
משנה המת מטמא במגע ובמשא ובאהל טומאת,0
במשנה ובפרק מי שאחזו,0
"משנה פ''ק דכלים (מ""ד) חמור מכולם",0
כסף משנה אחד,0
"ע""ב) במשנה ובפרק תינוקת",0
כסף משנה ומ''ש ואין העכו''ם,0
משנה פי''ב דאהלות נגע,0
פ''ט דמקואות (משנה ד'): וכתב הראב''ד א''א,0
קמא דשבועות (משנה,0
שיצרף ידו שמלשון המשנה משמע דבנגיעה בעלמא,0
"בפרק כ''ג וזבים (דף נ""ו ע""ב) במשנה",0
דערכין (דף ג') ובפרק יוצא דופן (דף,0
"(דף נ""ו ע""ב) במשנה ובפרק הניזקין (דף",0
"משנה פ''ק דעירובין (מ""ד) חמור",0
פרק קמא דעדויות (משנה,0
משנה פ''ק דעבודה זרה,0
"בפרק כ''ג וקידושין (דף נ""ו ע""ב) במשנה",0
משנה אחד המת,0
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",0
(משנה שם) תנן הותזו ראשיהם אף,0
הצריך שיצרף ידו שמלשון המשנה,0
"נ""ו ע""ב) במשנה ובפרק כל פסולי המוקדשין (דף",0
כסף משנה המת,0
"משנה פ''ק דתמיד (מ""ד) חמור",0
"ונזיר (דף נ""ו ע""ב) במשנה ובפרק",0
"משנה פ''ק דביצה (מ""ד) חמור מכולם",0
"משא בפרק כ''ג וחגיגה (דף נ""ו ע""ב)",1
משנה פי''ב דבבא מציעא נגע,0
"נ""ו ע""ב) במשנה ובפרק תינוקת (דף",0
משנה טומאת משא מפי השמועה,0
"נ""ו ע""ב) במשנה",0
משנה פ''ק דטהרות,0
בריש פ''ג דכלאים (משנה א'):,0
משנה פ''ט דמקואות (משנה ד'):,0
"הוא ובפרק המוכר פירות (דף קכ""א ע""ב)",1
משנה פי''ב דערכין נגע,0
במשנה וכר' יהושע ונראה מדברי רבינו,0
כסף משנה ומדברי,0
כסף משנה ומדברי סופרים שיהיו,0
"ע""ב) במשנה ובפרק כל השבת",0
משנה פי''ב דיבמות נגע במשקוף,0
פ''ט דמקואות (משנה ד'):,0
כסף משנה טומאת אהל,0
משנה פ''ק דדברכות,0
דמעשר שני (משנה שם) תנן הותזו,0
"הדין וכך אמרו בפרק ארוסה (דף ע""ו)",1
"משנה פ''ק דערכין (מ""ד) חמור מכולם המת",0
"ג') ובפרק ולד חטאת (דף מ""ג ע""ב)",1
משנה אחד המת מישראל או מן העכו''ם,0
"(דף ג') ובפרק חלון (דף מ""ג",0
ג''ז שם במשנה וכר' יהושע ונראה מדברי,0
"במשנה ובפרק אלו הן הנחנקין (דף ס""ט)",1
"ע""ב) במשנה ובפרק כל היד (דף",0
כסף משנה טומאת אהל אינה,0
"(דף ג') ובפרק הדר (דף מ""ג",0
לו טומאה ובפרק הזורק (דף כ'),1
למה הצריך שיצרף ידו שמלשון המשנה,0
"ומעשר שני (דף נ""ו ע""ב) במשנה ובפרק התכלת",0
"משנה פ''ק דתמיד (מ""ד) חמור",0
משנה פי''ב דאהלות נגע במשקוף,0
"במשנה ובפרק ואלו קשרים (דף ס""ט) ושנינו",0
"כ''ג ודתענית (דף נ""ו ע""ב) במשנה",0
קמא דאהלות (משנה,0
קמא דסוכה (משנה,0
משנה פי''ב דבבא מציעא נגע במשקוף,0
משנה אחד הבא,0
"הדין וכך אמרו בפרק אלו הן הלוקין (דף ע""ו)",1
קמא דכריתות (משנה שם) תנן,0
כסף משנה אחד,0
"הוא ובפרק ארבעה ראשי שנים (דף קכ""א ע""ב)",1
כסף משנה טומאת אהל אינה בשאר,0
פ''ג דמעשר שני (משנה א'):,0
משנה אחד המת מישראל,0
כסף משנה המת,0
"בסוף פרק קמא דקינים (דף כ': כ""א<prd>):",1
במשנה ובפרק המגרש,0
שיצרף ידו שמלשון המשנה משמע,0
משנה פרק קמא דאהלות,0
שמלשון המשנה משמע דבנגיעה בעלמא,0
שיצרף ידו שמלשון המשנה משמע דבנגיעה,0
משנה פרק קמא דסוכה (משנה,0
קמא דאהלות (משנה שם) תנן,0
משנה וגמרא בפרק קמא דמעילה (דף ג'),1
קמא דקינים (משנה שם) תנן,0
משנה פי''ב דידים נגע במשקוף טמא,0
"במשנה ובפרק הורו בית דין (דף ס""ט) ושנינו בפ''ב",0
משנה פי''ב דעדויות נגע במשקוף טמא,0
משנה פרק קמא דקידושין (משנה,0
"הדין וכך אמרו בפרק הנשרפין (דף ע""ו)",1
ידו שמלשון המשנה משמע דבנגיעה,0
משנה אחד הבא כלו,0
"משנה פ''ק דכלים (מ""ד) חמור",0
במשנה ובפרק יוצא דופן (דף,0
בריש פ''ג דתענית (משנה א'):,0
הצריך שיצרף ידו שמלשון המשנה משמע,0
"במשנה ובפרק גט פשוט (דף ס""ט) ושנינו",0
משנה טומאת משא מפי,0
"פ''ק דשבת (דף כ""ה)",1
משנה ומ''ש ואין,0
"ג') ובפרק אין מקדישין (דף מ""ג ע""ב)",1
בריש פ''ג דדתענית (משנה,0
כסף משנה ומ''ש ואין,0
"בפרק כ''ג ודמאי (דף נ""ו ע""ב) במשנה",0
כסף משנה המת אינו מטמא,0
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה ובפרק",0
כסף משנה ומ''ש,0
"נ""ו ע""ב) במשנה ובפרק",0
פ''ג דאהלות (משנה א'):,0
קמא דברכות (משנה שם) תנן הותזו ראשיהם,0
בפרק האשה שהיא עושה (דף כ'),1
משנה פרק קמא דביצה,0
משנה וגמרא בפרק קמא דחלה (דף ג'),1
"משנה פ''ק דכלים (מ""ד) חמור מכולם המת",0
דמכות (משנה שם) תנן,0
יודע למה הצריך שיצרף ידו שמלשון המשנה,0
"בסוף פרק קמא דפאה (דף כ': כ""א<prd>):",1
קמא דעירובין (משנה,0
משנה וגמרא בפרק קמא דמכות,0
משנה ומדברי סופרים שיהיו העכו''ם,0
משנה וגמרא בפרק קמא דערכין (דף,0
"כ''ג ותענית (דף נ""ו ע""ב) במשנה ובפרק",0
"במשנה ובפרק האשה שנתארמלה (דף ס""ט)",1
קמא דאהלות (משנה שם) תנן הותזו,0
קשה דבפירקא קמא דנדה (משנה,0
דבבא מציעא (משנה שם) תנן,0
כסף משנה המת מטמא במגע ובמשא ובאהל,0
"הוא ובפרק בא לו כהן גדול (דף קכ""א ע""ב)",1
"ונזיר (דף נ""ו ע""ב) במשנה",0
"וזבחים (דף נ""ו ע""ב) במשנה ובפרק תינוקת",0
"בפרק המביא גט (דף ע' ע""ב)",1
שמלשון המשנה משמע,0
"הוא ובפרק העור והרוטב (דף קכ""א ע""ב)",1
קשה דבפירקא קמא דעדיות (משנה שם) תנן,0
כסף משנה מ''ש ואפילו בלשונו,0
פ''ג דמעשר שני (משנה,0
דבפירקא קמא דחולין (משנה שם) תנן,0
בריש פ''ג דדברכות (משנה א'):,0
כסף משנה טומאת משא מפי השמועה,0
משנה טומאת אהל אינה בשאר טומאות אלא,0
משנה טומאת אהל אינה,0
פרק קמא דשביעית (משנה,0
(משנה ד'): וכתב הראב''ד א''א אמת,0
כסף משנה מ''ש,0
דנזיר (דף ג') ובפרק הזרוע והלחיים (דף,0
לו טומאה ובפרק לא יחפור (דף כ'),1
משנה אחד המת מישראל או,0
ידו שמלשון המשנה,0
דטהרות (משנה א'):,0
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה",0
דהוריות (דף ג') ובפרק במה בהמה (דף,0
"ג') ובפרק סוכה (דף מ""ג ע""ב)",1
כסף משנה קרום שעל,0
משנה ומ''ש ואין העכו''ם מטמא באהל,0
"וחלה (דף נ""ו ע""ב) במשנה",0
משנה המת אינו מטמא עד שתצא,0
משנה פי''ב דמעשרות,0
"(דף נ""ו ע""ב) במשנה ובפרק",0
משנה ומ''ש ואין העכו''ם,0
כסף משנה אחד הבא כלו לאהל,0
משנה פרק קמא דאהלות,0
דמקואות (משנה ד'): וכתב הראב''ד,0
משנה פי''ב דאהלות,0
משנה פי''ב דסוכה נגע במשקוף טמא,0
משנה פ''ט דמקואות (משנה ד'): וכתב הראב''ד,0
"במשנה ובפרק אלו הן הגולין (דף ס""ט) ושנינו",0
דבפירקא קמא דדברכות (משנה,0
משנה אחד הבא כלו לאהל המת או,0
קמא דסוטה (משנה שם) תנן,0
במשנה ובפרק תינוקת,0
משנה פרק קמא דסוטה (משנה,0
משנה ומ''ש ואין העכו''ם מטמא,0
משנה המת מטמא,0
"ג') ובפרק הרואה (דף מ""ג ע""ב)",1
כסף משנה אחד הבא,0
"בפרק אלו פאה נקמצות (דף ע' ע""ב)",1
"כ''ג ומגילה (דף נ""ו ע""ב) במשנה ובפרק",0
אך קשה דבפירקא קמא דאהלות (משנה,0
משנה מ''ש ואפילו בלשונו,0
דאהלות (משנה א'):,0
"כוותיה ועוד דבס''פ אין צדין (דף קי""ד ע""ב)",1
משנה טומאת אהל אינה בשאר טומאות,0
קמא דיש מותרות (משנה,0
"בסוף פרק קמא דחולין (דף כ': כ""א<prd>):",1
