text,tag
ומטמא כל סביביו הילכך הנוגע באסקופה מטפח,-1
דבנגיעה בעלמא טמא ואין צורך לצירוף יד,-1
אפשר דנגיעה היינו צירף ידו שכתב רבינו,-1
ומ''ש ובין שהאהיל האדם או הכלי וכו',-1
דאהלות נגע במשקוף,-1
מטמא במגע ובמשא ובאהל,-1
ומטמא כל סביביו,-1
דבנגיעה בעלמא טמא,-1
כסף משנה טומאת אהל אינה בשאר,0
ובין שהאהיל האדם,-1
טהור כנוגע בקרקע עולם וזה הפך ממ''ש,-1
לצירוף יד ואפשר דמשמע לרבינו דלישנא,-1
"נ""ו ע""ב) במשנה ובפרק תינוקת (דף ס""ט)",-1
דוקא ואינו טמא אא''כ צירף,-1
שבעה וטומאת מגע ואהל מפורשים,-1
נגע באסקופה מטפח ולמטה,-1
משנה אחד הבא כלו,0
טהור כנוגע בקרקע עולם,-1
דלישנא דנגיעה לאו דוקא,-1
המת מטמא במגע ובמשא ובאהל,-1
צירף ידו שכתב רבינו וכאילו יהיב טעמא,-1
"ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות",-1
טומאת אהל אינה בשאר,-1
"מ""ג) ואיתיה בת''כ: נגע במשקוף",-1
בו ור''ש כתב רבי יהושע מטמא באסקופה,-1
דדרך הטומאה לצאת:,-1
אחד הבא כלו לאהל המת,-1
לישנא אצל צירף,-1
כמ''ש רבינו וטומאת משא,-1
ולמטה טהור כנוגע בקרקע עולם וזה,-1
כתב רבי יהושע מטמא באסקופה,-1
דאהלות נגע במשקוף טמא,-1
לאהל המת או,-1
מטמא באהל מה,-1
דנגיעה לאו דוקא ואינו טמא אא''כ צירף,-1
יהושע ונראה מדברי רבינו שם דטעמא,-1
א''א מצאתי בתוספתא דאהלות וכו',-1
וכר' יהושע ונראה מדברי רבינו שם,-1
במגע ובמשא ובאהל טומאת,-1
"בפ' ג' מינים (דף מ""ג) ואיתיה בת''כ:",-1
כנוגע בכותל מכותלי הבית,-1
בקרקע עולם וזה הפך ממ''ש,-1
ג''ז שם במשנה,0
דנגיעה היינו צירף ידו שכתב רבינו וכאילו,-1
אהל אינה בשאר טומאות אלא,-1
הוי הבית כקבר,-1
ולמעלה משום דדרך הטומאה לצאת: כתב הראב''ד,-1
ידו שכתב רבינו וכאילו,-1
כתב רבי יהושע מטמא באסקופה מטפח,-1
דאפי' עצם כשעורה מטמא,-1
הוי הבית כקבר סתום ומטמא כל סביביו,-1
מדברי רבינו שם,-1
או אפשר דנגיעה היינו,-1
ונראה מדברי רבינו שם דטעמא משום,-1
בפ' ג' מינים,-1
רבינו וטומאת משא בפרק כ''ג,-1
אפשר דנגיעה היינו,-1
"(דף מ""ג) ואיתיה בת''כ: נגע",-1
הבית כקבר סתום ומטמא,-1
חזר בו ור''ש,-1
שהאהיל האדם או,-1
"(דף נ""ו ע""ב) במשנה ובפרק תינוקת (דף",0
סביביו הילכך הנוגע באסקופה מטפח,-1
טהור מטפח ולמעלה טמא:,-1
ומ''ש נגע באסקופה,-1
ובמשא ובאהל טומאת,-1
לצאת: כתב הראב''ד נגע באסקופה מטפח,-1
באסקופה מטפח ולמעלה משום דדרך,-1
או הבא מקצתו,-1
בשאר טומאות אלא,-1
המת מטמא במגע ובמשא ובאהל טומאת שבעה,-1
ולמטה טהור כנוגע בקרקע,-1
טעמא למה אם נגע,-1
שכאן חזר בו ור''ש,-1
דאהלות דאפי' עצם כשעורה מטמא,-1
הילכך הנוגע באסקופה מטפח,-1
משנה אחד הבא כלו לאהל המת או,0
ולמעלה משום דדרך הטומאה לצאת:,-1
"דכלים (מ""ד) חמור מכולם המת",-1
מגע ואהל מפורשים בתורה,-1
כקבר סתום ומטמא כל סביביו הילכך,-1
מטמא במגע ובמשא,-1
משנה המת מטמא במגע ובמשא ובאהל,0
ג''ז שם במשנה וכר',0
משנה אחד הבא כלו לאהל,0
משנה טומאת אהל אינה בשאר טומאות אלא,0
רבינו שם דטעמא משום,-1
"מינים (דף מ""ג) ואיתיה",-1
משא בפרק כ''ג ונזיר (דף,-1
ואהל מפורשים בתורה,-1
כשעורה מטמא במשא:,-1
מטפח ולמעלה טמא כנוגע,-1
מטפח ולמעלה משום דדרך,-1
ור''ש כתב רבי יהושע מטמא,-1
ג''ז שם במשנה וכר' יהושע ונראה,0
ולמעלה טמא כנוגע בכותל,-1
כנוגע בקרקע עולם,-1
נגע במשקוף וכו',-1
המת מטמא במגע,-1
"נ""ו ע""ב) במשנה",0
שמלשון המשנה משמע דבנגיעה,0
מטמא באסקופה מטפח ולמעלה משום דדרך,-1
דמשמע לרבינו דלישנא דנגיעה לאו דוקא ואינו,-1
הבית כקבר סתום ומטמא כל,-1
אינה בשאר טומאות אלא במת,-1
צורך לצירוף יד ואפשר דמשמע לרבינו דלישנא,-1
מכולם המת שהוא מטמא באהל מה שאין,-1
לרבינו דלישנא דנגיעה לאו דוקא ואינו טמא,-1
מטפח ולמעלה משום דדרך הטומאה לצאת: כתב,-1
שנותנת טעם למה מטפח ולמטה טהור מטפח,-1
בריש פ''ג דאהלות (משנה א'):,0
"ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",-1
לחד לישנא אצל צירף ידו ואפשר,-1
דלישנא דנגיעה לאו דוקא ואינו,-1
טומאת אהל אינה בשאר טומאות אלא,-1
צירף ידו ואפשר,-1
איני יודע למה הצריך שיצרף ידו שמלשון,-1
הילכך הנוגע באסקופה,-1
באסקופה מטפח ולמטה,-1
שם דטעמא משום דכשטומאה בבית,-1
"בפרק כ''ג ונזיר (דף נ""ו ע""ב) במשנה",0
ובאהל טומאת שבעה וטומאת מגע,-1
יד ואפשר דמשמע לרבינו,-1
לצאת: כתב הראב''ד נגע באסקופה,-1
וכאילו יהיב טעמא,-1
ור''ש כתב רבי יהושע מטמא באסקופה מטפח,-1
בסמוך לחד לישנא,-1
טמא ואין צורך,-1
רבינו וכאילו יהיב טעמא,-1
דנגיעה לאו דוקא ואינו,-1
הפך ממ''ש בשמו בסמוך לחד,-1
שיצרף ידו שמלשון המשנה,0
המת שהוא מטמא באהל מה,-1
אהל אינה בשאר טומאות אלא במת,-1
מפני שנותנת טעם,-1
זו מפני שנותנת טעם למה מטפח,-1
הצריך שיצרף ידו שמלשון המשנה משמע דבנגיעה,0
וכאילו יהיב טעמא למה,-1
נגע באסקופה מטפח ולמטה וכו',-1
הצריך שיצרף ידו שמלשון,-1
עולם וזה הפך ממ''ש בשמו,-1
כתב רבי יהושע מטמא באסקופה מטפח ולמעלה,-1
למה הצריך שיצרף ידו שמלשון המשנה משמע,0
רבינו וטומאת משא בפרק כ''ג ונזיר,-1
"ונזיר (דף נ""ו",-1
רבינו וכאילו יהיב,-1
המשנה משמע דבנגיעה בעלמא טמא ואין צורך,0
טעם למה מטפח ולמטה,-1
סתום ומטמא כל סביביו הילכך הנוגע באסקופה,-1
רבינו וכאילו יהיב טעמא למה אם נגע,-1
"(דף ס""ט) ושנינו בפ''ב",-1
דטעמא משום דכשטומאה בבית הוי,-1
לחד לישנא אצל,-1
"(דף נ""ו ע""ב) במשנה ובפרק",0
כתב הראב''ד נגע באסקופה,-1
צירף ידו שכתב רבינו וכאילו,-1
הנוגע באסקופה מטפח ולמעלה טמא כנוגע,-1
עולם וזה הפך ממ''ש,-1
כל סביביו הילכך הנוגע,-1
חמור מכולם המת שהוא מטמא,-1
ממ''ש בשמו בסמוך לחד לישנא אצל,-1
שם במשנה וכר' יהושע ונראה,0
ואינו טמא אא''כ,-1
מטמא באסקופה מטפח,-1
"משנה פ''ק דכלים (מ""ד) חמור",0
שם במשנה וכר' יהושע ונראה מדברי רבינו,0
מטמא במגע ובמשא ובאהל טומאת שבעה,-1
"מ""ג) ואיתיה בת''כ: נגע",-1
היינו צירף ידו שכתב,-1
"(דף נ""ו ע""ב) במשנה",0
בסמוך לחד לישנא אצל,-1
ואינו טמא אא''כ צירף ידו או,-1
רבי יהושע מטמא באסקופה מטפח,-1
הוי הבית כקבר סתום ומטמא כל,-1
שם במשנה וכר' יהושע ונראה מדברי,0
לישנא אצל צירף ידו ואפשר שכאן חזר,-1
איני יודע למה הצריך שיצרף ידו,-1
כסף משנה אחד הבא כלו,0
בו ור''ש כתב רבי,-1
משנה פי''ב דאהלות נגע במשקוף טמא,0
וכר' יהושע ונראה מדברי,-1
בסמוך לחד לישנא אצל צירף,-1
ובאהל טומאת שבעה וטומאת מגע ואהל מפורשים,-1
תוספתא זו מפני שנותנת טעם למה,-1
"משנה פ''ק דכלים (מ""ד)",-1
כמ''ש רבינו וטומאת משא בפרק כ''ג ונזיר,-1
זו מפני שנותנת טעם,-1
לחד לישנא אצל צירף,-1
דנגיעה היינו צירף ידו שכתב,-1
"(דף ס""ט) ושנינו בפ''ב דאהלות",-1
"ס""ט) ושנינו בפ''ב",-1
דכשטומאה בבית הוי הבית,-1
הראב''ד נגע באסקופה מטפח ולמטה וכו',-1
דבנגיעה בעלמא טמא ואין צורך,-1
או אפשר דנגיעה היינו צירף,-1
יהיב טעמא למה,-1
כנוגע בקרקע עולם וזה הפך,-1
מפני שנותנת טעם למה מטפח,-1
צורך לצירוף יד ואפשר דמשמע,-1
משמע דבנגיעה בעלמא טמא ואין,-1
רבינו וכאילו יהיב טעמא למה אם,-1
רבי יהושע מטמא,-1
מכולם המת שהוא,-1
חמור מכולם המת שהוא,-1
ובין שהאהיל האדם או הכלי,-1
וטומאת מגע ואהל,-1
ובאהל טומאת שבעה וטומאת,-1
טעמא למה אם נגע טמא וצ''ע,-1
ידו שכתב רבינו וכאילו יהיב טעמא למה,-1
יהושע ונראה מדברי,-1
יהושע מטמא באסקופה מטפח ולמעלה משום דדרך,-1
"ונזיר (דף נ""ו ע""ב) במשנה",0
כסף משנה אחד,0
מטפח ולמטה טהור,-1
ידו או אפשר דנגיעה,-1
אחד הבא כלו,-1
מטפח ולמטה טהור מטפח ולמעלה טמא:,-1
"משא בפרק כ''ג ונזיר (דף נ""ו ע""ב)",1
דלישנא דנגיעה לאו דוקא ואינו טמא,-1
טמא אא''כ צירף ידו או אפשר דנגיעה,-1
רבי יהושע מטמא באסקופה,-1
כתב הראב''ד נגע באסקופה מטפח ולמטה וכו',-1
טמא כנוגע בכותל,-1
ונראה מדברי רבינו,-1
בבית הוי הבית כקבר סתום ומטמא,-1
וזה הפך ממ''ש בשמו בסמוך לחד,-1
אא''כ צירף ידו או אפשר דנגיעה היינו,-1
המת שהוא מטמא באהל מה שאין,-1
ובמשא ובאהל טומאת שבעה וטומאת מגע ואהל,-1
המשנה משמע דבנגיעה בעלמא טמא,0
טומאת שבעה וטומאת מגע ואהל מפורשים בתורה,-1
משנה המת מטמא,0
שאין כולם מטמאין,-1
"פ''ק דכלים (מ""ד) חמור",-1
שם דטעמא משום דכשטומאה,-1
אם נגע טמא,-1
יודע למה הצריך שיצרף ידו שמלשון המשנה,0
טמא אא''כ צירף ידו או,-1
כסף משנה אחד הבא כלו לאהל המת,0
יהושע ונראה מדברי רבינו,-1
ור''ש כתב רבי יהושע,-1
ואינו טמא אא''כ צירף,-1
פי''ב דאהלות נגע,-1
המשנה משמע דבנגיעה בעלמא,0
צירף ידו ואפשר שכאן חזר בו,-1
בסמוך לחד לישנא אצל צירף ידו,-1
נגע במשקוף טמא,-1
שם דטעמא משום,-1
וזה הפך ממ''ש בשמו בסמוך לחד לישנא,-1
תוספתא זו מפני שנותנת טעם,-1
שכתב רבינו וכאילו יהיב טעמא,-1
שבעה וטומאת מגע,-1
או אפשר דנגיעה היינו צירף ידו,-1
משנה פי''ב דאהלות,0
חזר בו ור''ש כתב,-1
שמלשון המשנה משמע דבנגיעה בעלמא,0
שמלשון המשנה משמע דבנגיעה בעלמא טמא ואין,0
מטפח ולמעלה טמא:,-1
או הבא מקצתו וכו',-1
רבי יהושע מטמא באסקופה מטפח ולמעלה,-1
שכתב רבינו וכאילו,-1
הבא כלו לאהל,-1
או אפשר דנגיעה היינו צירף ידו שכתב,-1
ולמטה טהור מטפח ולמעלה טמא:,-1
במשנה וכר' יהושע ונראה מדברי רבינו שם,0
למה הצריך שיצרף ידו שמלשון המשנה,0
ידו שמלשון המשנה משמע,0
דטעמא משום דכשטומאה,-1
הילכך הנוגע באסקופה מטפח ולמעלה טמא,-1
זו מפני שנותנת,-1
טמא אא''כ צירף,-1
דוקא ואינו טמא אא''כ צירף ידו,-1
צירף ידו שכתב רבינו,-1
"(דף מ""ג) ואיתיה",-1
כסף משנה אחד הבא כלו לאהל,0
סביביו הילכך הנוגע,-1
מטפח ולמטה טהור מטפח ולמעלה,-1
משמע דבנגיעה בעלמא טמא,-1
טמא ואין צורך לצירוף יד ואפשר דמשמע,-1
כמ''ש רבינו וטומאת משא בפרק,-1
הבא כלו לאהל המת,-1
צירף ידו שכתב,-1
שהוא מטמא באהל מה שאין כולם,-1
"נ""ו ע""ב) במשנה ובפרק",0
באסקופה מטפח ולמעלה,-1
וטומאת משא בפרק כ''ג ונזיר (דף,-1
כל סביביו הילכך הנוגע באסקופה מטפח ולמעלה,-1
הבא מקצתו וכו',-1
ואפשר דמשמע לרבינו דלישנא,-1
שכאן חזר בו ור''ש כתב רבי,-1
וטומאת מגע ואהל מפורשים,-1
בפ''ב דאהלות דאפי',-1
פ''ג דאהלות (משנה,0
במגע ובמשא ובאהל,-1
טומאת אהל אינה,-1
בפ''ב דאהלות דאפי' עצם,-1
הילכך הנוגע באסקופה מטפח ולמעלה,-1
יד ואפשר דמשמע,-1
ובמשא ובאהל טומאת שבעה וטומאת,-1
שכאן חזר בו ור''ש כתב,-1
הראב''ד נגע באסקופה,-1
כתב תוספתא זו מפני,-1
טמא ואין צורך לצירוף,-1
משנה פי''ב דאהלות נגע במשקוף,0
"תינוקת (דף ס""ט) ושנינו בפ''ב",-1
מכולם המת שהוא מטמא,-1
שנותנת טעם למה מטפח ולמטה,-1
כקבר סתום ומטמא,-1
שהוא מטמא באהל מה שאין,-1
בכותל מכותלי הבית,-1
כקבר סתום ומטמא כל סביביו הילכך הנוגע,-1
אהל אינה בשאר טומאות,-1
שם במשנה וכר',0
או הכלי וכו',-1
מטפח ולמטה טהור כנוגע בקרקע עולם,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי'",-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",0
שנותנת טעם למה מטפח ולמטה טהור,-1
לאהל המת או הבא מקצתו,-1
בעלמא טמא ואין,-1
משנה המת מטמא במגע,0
כל סביביו הילכך,-1
ממ''ש בשמו בסמוך לחד,-1
שיצרף ידו שמלשון המשנה משמע,0
"וטומאת משא בפרק כ''ג ונזיר (דף נ""ו",-1
שהוא מטמא באהל מה,-1
ואינו טמא אא''כ צירף ידו,-1
הנוגע באסקופה מטפח ולמעלה טמא כנוגע בכותל,-1
לחד לישנא אצל צירף ידו,-1
באסקופה מטפח ולמעלה משום דדרך הטומאה לצאת:,-1
יודע למה הצריך שיצרף ידו שמלשון,-1
כלו לאהל המת או הבא מקצתו,-1
דנגיעה היינו צירף ידו,-1
שם דטעמא משום דכשטומאה בבית הוי הבית,-1
אא''כ צירף ידו או אפשר,-1
הנוגע באסקופה מטפח,-1
כסף משנה המת מטמא במגע ובמשא,0
זו מפני שנותנת טעם למה,-1
מטמא באסקופה מטפח ולמעלה,-1
משנה פי''ב דאהלות נגע,0
רבינו שם דטעמא משום דכשטומאה בבית,-1
ידו ואפשר שכאן חזר,-1
וזה הפך ממ''ש בשמו,-1
"נ""ו ע""ב) במשנה ובפרק תינוקת (דף",0
לרבינו דלישנא דנגיעה לאו,-1
הבית כקבר סתום ומטמא כל סביביו הילכך,-1
"(מ""ד) חמור מכולם המת",-1
צירף ידו ואפשר שכאן,-1
המת שהוא מטמא באהל,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה לאו,-1
משום דדרך הטומאה לצאת: כתב הראב''ד נגע,-1
מפני שנותנת טעם למה מטפח ולמטה טהור,-1
מצאתי בתוספתא דאהלות,-1
שם דטעמא משום דכשטומאה בבית הוי,-1
טומאת שבעה וטומאת,-1
דוקא ואינו טמא,-1
במשנה וכר' יהושע ונראה,0
"כ''ג ונזיר (דף נ""ו",-1
טומאת שבעה וטומאת מגע ואהל מפורשים,-1
הבית כקבר סתום,-1
למה אם נגע טמא,-1
סתום ומטמא כל סביביו הילכך,-1
סתום ומטמא כל סביביו הילכך הנוגע,-1
ידו או אפשר,-1
אם נגע טמא וצ''ע,-1
מפני שנותנת טעם למה,-1
משום דדרך הטומאה לצאת: כתב,-1
בפ' ג' מינים (דף,-1
עצם כשעורה מטמא,-1
ידו ואפשר שכאן חזר בו ור''ש כתב,-1
כתב תוספתא זו,-1
לחד לישנא אצל צירף ידו ואפשר שכאן,-1
כנוגע בכותל מכותלי,-1
רבינו שם דטעמא משום דכשטומאה בבית הוי,-1
למה הצריך שיצרף,-1
פי''ב דאהלות נגע במשקוף,-1
כתב תוספתא זו מפני שנותנת טעם למה,-1
ואין צורך לצירוף,-1
יהושע מטמא באסקופה מטפח,-1
כתב רבי יהושע מטמא,-1
כסף משנה טומאת אהל אינה בשאר טומאות,0
ולמעלה טמא כנוגע בכותל מכותלי הבית,-1
דנגיעה לאו דוקא ואינו טמא,-1
חזר בו ור''ש כתב רבי יהושע,-1
"(מ""ד) חמור מכולם",-1
ידו שכתב רבינו וכאילו יהיב טעמא,-1
רבינו וטומאת משא בפרק כ''ג ונזיר (דף,-1
ושנינו בפ''ב דאהלות דאפי' עצם,-1
הראב''ד נגע באסקופה מטפח,-1
רבינו וכאילו יהיב טעמא למה,-1
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה",0
באסקופה מטפח ולמעלה טמא כנוגע בכותל,-1
למה הצריך שיצרף ידו,-1
שכאן חזר בו,-1
וטומאת מגע ואהל מפורשים בתורה,-1
ידו ואפשר שכאן,-1
סביביו הילכך הנוגע באסקופה מטפח ולמעלה טמא,-1
כקבר סתום ומטמא כל,-1
רבינו וטומאת משא בפרק,-1
ובין שהאהיל האדם או,-1
טמא ואין צורך לצירוף יד ואפשר,-1
לאו דוקא ואינו טמא,-1
"ס""ט) ושנינו בפ''ב דאהלות",-1
מדברי רבינו שם דטעמא משום,-1
אינה בשאר טומאות אלא במת בלבד,-1
דאפי' עצם כשעורה,-1
היינו צירף ידו שכתב רבינו וכאילו,-1
מה שאין כולם מטמאין,-1
נגע טמא וצ''ע,-1
משום דדרך הטומאה לצאת: כתב הראב''ד,-1
"משא בפרק כ''ג ונזיר (דף נ""ו",-1
לישנא אצל צירף ידו ואפשר שכאן,-1
לרבינו דלישנא דנגיעה,-1
ידו שמלשון המשנה משמע דבנגיעה,0
ג''ז שם במשנה וכר' יהושע ונראה מדברי,0
אלא במת בלבד,-1
אצל צירף ידו ואפשר,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה,-1
טעמא למה אם נגע טמא,-1
דדרך הטומאה לצאת: כתב,-1
עולם וזה הפך ממ''ש בשמו בסמוך לחד,-1
ושנינו בפ''ב דאהלות,-1
כתב הראב''ד נגע,-1
שהוא מטמא באהל מה שאין כולם מטמאין,-1
אינה בשאר טומאות,-1
שבעה וטומאת מגע ואהל,-1
דאהלות דאפי' עצם כשעורה,-1
"ובפרק תינוקת (דף ס""ט) ושנינו",-1
הצריך שיצרף ידו,-1
דדרך הטומאה לצאת: כתב הראב''ד נגע,-1
לצירוף יד ואפשר,-1
יודע למה הצריך שיצרף ידו,-1
בפ''ב דאהלות דאפי' עצם כשעורה מטמא במשא:,-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו",0
המת שהוא מטמא,-1
או אפשר דנגיעה,-1
למה מטפח ולמטה,-1
"דכלים (מ""ד) חמור",-1
האדם או הכלי,-1
דכשטומאה בבית הוי הבית כקבר,-1
לישנא אצל צירף ידו,-1
צירף ידו שכתב רבינו וכאילו יהיב,-1
ידו שמלשון המשנה,0
לצאת: כתב הראב''ד נגע באסקופה מטפח ולמטה,-1
טמא אא''כ צירף ידו,-1
מטפח ולמעלה משום דדרך הטומאה לצאת:,-1
משמע דבנגיעה בעלמא טמא ואין צורך לצירוף,-1
פי''ב דאהלות נגע במשקוף טמא,-1
"מ""ג) ואיתיה בת''כ: נגע במשקוף וכו'",-1
באסקופה מטפח ולמעלה טמא כנוגע,-1
"בפ' ג' מינים (דף מ""ג) ואיתיה",-1
ולמטה טהור כנוגע בקרקע עולם וזה הפך,-1
אינה בשאר טומאות אלא,-1
דמשמע לרבינו דלישנא דנגיעה,-1
וכאילו יהיב טעמא למה אם נגע טמא,-1
שמלשון המשנה משמע,0
ואפשר שכאן חזר בו ור''ש,-1
טמא ואין צורך לצירוף יד,-1
עולם וזה הפך ממ''ש בשמו בסמוך,-1
דמשמע לרבינו דלישנא דנגיעה לאו דוקא,-1
צירף ידו או אפשר דנגיעה,-1
צורך לצירוף יד ואפשר דמשמע לרבינו,-1
ידו או אפשר דנגיעה היינו צירף ידו,-1
"דכלים (מ""ד) חמור מכולם",-1
ידו או אפשר דנגיעה היינו צירף,-1
משא בפרק כ''ג ונזיר,-1
טומאת אהל אינה בשאר טומאות,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה לאו דוקא,-1
סביביו הילכך הנוגע באסקופה מטפח ולמעלה,-1
"(מ""ד) חמור מכולם המת שהוא מטמא",-1
מטפח ולמטה טהור כנוגע בקרקע,-1
טהור כנוגע בקרקע,-1
"משנה פ''ק דכלים (מ""ד) חמור מכולם המת",0
וטומאת משא בפרק כ''ג,-1
היינו צירף ידו שכתב רבינו וכאילו יהיב,-1
צירף ידו או,-1
בבית הוי הבית,-1
למה מטפח ולמטה טהור מטפח ולמעלה,-1
בפרק כ''ג ונזיר (דף,-1
בו ור''ש כתב רבי יהושע,-1
כסף משנה המת מטמא במגע ובמשא ובאהל,0
ואינו טמא אא''כ צירף ידו או אפשר,-1
לאו דוקא ואינו טמא אא''כ צירף,-1
"ג' מינים (דף מ""ג) ואיתיה",-1
בשאר טומאות אלא במת בלבד,-1
לרבינו דלישנא דנגיעה לאו דוקא ואינו,-1
שנותנת טעם למה,-1
טעם למה מטפח ולמטה טהור,-1
במשנה וכר' יהושע,0
